Time,RightACC,RightEMGext
0.533,-2.40951,-3.92465
0.534,-2.40951,-1.22184
0.535,-2.40951,0.243358
0.536,-3.63021,-0.489243
0.537,-3.63021,-0.261648
0.538,-3.63021,2.66876
0.539,-3.63021,-0.994249
0.54,-3.63021,-1.72685
0.541,-3.63021,-3.92465
0.542,-3.63021,-3.41965
0.543,-3.63021,-0.994249
0.544,-3.63021,-0.994249
0.545,-2.40951,-3.41965
0.546,-2.40951,-2.68705
0.547,-2.40951,-3.19205
0.548,-2.40951,-3.92465
0.549,-2.40951,-1.22184
0.55,-2.40951,-1.22184
0.551,-2.40951,-3.92465
0.552,-2.40951,-3.41965
0.553,-2.40951,-1.22184
0.554,-2.40951,4.63896
0.555,-2.40951,-1.22184
0.556,-2.40951,0.470953
0.557,-2.40951,7.79696
0.558,-2.40951,4.86656
0.559,-2.40951,-0.994249
0.56,-2.40951,0.470953
0.561,-2.40951,-2.45945
0.562,-2.40951,-3.92465
0.563,-2.40951,-1.72685
0.564,-2.40951,-1.72685
0.565,-2.40951,-3.92465
0.566,-2.40951,-3.41965
0.567,-2.40951,-1.95444
0.568,-2.40951,-1.95444
0.569,-1.1888,-3.41965
0.57,-1.1888,-1.95444
0.571,-1.1888,0.975958
0.572,-1.1888,-1.95444
0.573,-1.1888,-2.45945
0.574,-1.1888,-0.994249
0.575,-1.1888,-0.261648
0.576,-1.1888,-0.261648
0.577,-1.1888,-0.994249
0.578,-1.1888,-3.19205
0.579,-1.1888,-3.41965
0.58,-1.1888,-2.68705
0.581,0.031901,-1.95444
0.582,0.031901,-2.68705
0.583,0.031901,-2.68705
0.584,0.031901,-1.95444
0.585,0.031901,-1.22184
0.586,0.031901,-2.68705
0.587,0.031901,-3.92465
0.588,0.031901,-3.92465
0.589,1.2526,-2.68705
0.59,1.2526,-3.41965
0.591,1.2526,-3.19205
0.592,1.2526,-0.994249
0.593,1.2526,3.40136
0.594,2.47331,2.66876
0.595,2.47331,-0.994249
0.596,2.47331,-1.72685
0.597,2.47331,-0.261648
0.598,2.47331,-2.45945
0.599,2.47331,-2.68705
0.6,2.47331,-2.45945
0.601,2.47331,-2.68705
0.602,3.69401,-2.68705
0.603,3.69401,-3.19205
0.604,3.69401,-0.994249
0.605,3.69401,1.20355
0.606,3.69401,-0.261648
0.607,3.69401,-3.19205
0.608,3.69401,-3.19205
0.609,3.69401,-3.92465
0.61,3.69401,-0.489243
0.611,3.69401,2.44116
0.612,4.91471,3.17376
0.613,4.91471,0.975958
0.614,4.91471,-1.22184
0.615,4.91471,-1.72685
0.616,4.91471,2.66876
0.617,4.91471,6.33176
0.618,4.91471,0.470953
0.619,4.91471,-3.92465
0.62,4.91471,-3.41965
0.621,4.91471,-1.72685
